CITY CODE,STATE,METRO/MICRO,URBAN AREA AND STATE,TBONESTEAK,GRNDBEEF,SAUSAGE,FRYCHICK,TUNA,HGALMILK,DOZENEGGS,MARGARINE,PARMESAN,POTATOES,BANANAS,LETTUCE,BREAD,ORANGJUICE,COFFEE,SUGAR,CEREAL,SWEETPEAS,PEACHES,KLNX,CAS-CADE,CANOLAOIL,FROZNMEAL,FROZNCORN,POTATOCHIPS,COKE,APTRENT,HOMEPRICE,MORTRATE (%),HOMEP+I,ALL-ELECT,PARTELECT,OTHERENERGY,TOTALENERGY,PHONE,TIREBAL,GASOLINE,OPTOMETRIST,DOCTOR,DENTIST,IBUPROFEN,LIPITOR,HMBGRSAND,PIZZA,2-PCCHICK,HAIRCUT,BEAUTSALON,TOOTHPASTE,SHAMPOO,DRYCLEAN,MEN'SSHIRT,BOY'SJEANS,WOMEN'SSLACKS,WASHRREPR,NEWSPAPER,MOVIE,BOWLING,TENNSBALLS,VETSERVICES,BEER,WINE
02-21820-300,Alaska,Fairbanks AK Metro,Fairbanks AK,$12.15 ,$4.83 ,$4.98 ,$1.44 ,$1.14 ,$2.40 ,$2.39 ,$1.46 ,$4.80 ,$3.66 ,$0.89 ,$1.87 ,$2.03 ,$4.13 ,$5.56 ,$2.76 ,$4.47 ,$1.30 ,$3.37 ,$2.28 ,$5.50 ,$3.89 ,$2.64 ,$1.43 ,$4.19 ,$2.08 ,"$1,186 ","$374,115 ",3.96,"$1,333 ",,$130.78 ,$428.97 ,$559.75 ,$29.90 ,$39.57 ,$3.54 ,$230.83 ,$173.50 ,$145.50 ,$9.50 ,$317.39 ,$4.69 ,$12.99 ,$5.59 ,$13.49 ,$43.95 ,$2.90 ,$1.00 ,$15.42 ,$25.78 ,$20.98 ,$27.84 ,$100.00 ,$17.71 ,$12.13 ,$5.00 ,$3.17 ,$46.28 ,$10.23 ,$10.65 
02-27940-400,Alaska,Juneau AK Micro,Juneau AK,$12.94 ,$4.98 ,$5.29 ,$1.57 ,$1.30 ,$2.56 ,$2.38 ,$1.43 ,$5.25 ,$4.34 ,$0.92 ,$1.75 ,$2.24 ,$4.72 ,$5.78 ,$2.88 ,$4.28 ,$1.36 ,$3.13 ,$2.42 ,$5.97 ,$3.93 ,$2.78 ,$1.70 ,$4.69 ,$2.20 ,"$1,420 ","$473,080 ",4.06,"$1,706 ",,$79.08 ,$211.82 ,$290.90 ,$24.88 ,$40.14 ,$3.50 ,$202.00 ,$174.33 ,$149.33 ,$10.48 ,$309.92 ,$5.05 ,$13.06 ,$3.53 ,$19.63 ,$37.53 ,$3.75 ,$1.12 ,$14.35 ,$22.05 ,$21.71 ,$26.17 ,$53.26 ,$15.50 ,$11.13 ,$5.25 ,$3.04 ,$57.44 ,$9.95 ,$11.47 
02-88888-550,Alaska,NonMetro US,Kodiak AK,$12.63 ,$5.99 ,$5.07 ,$1.84 ,$1.41 ,$3.17 ,$2.59 ,$1.52 ,$5.29 ,$5.61 ,$0.96 ,$2.69 ,$1.96 ,$4.91 ,$5.93 ,$3.21 ,$4.72 ,$1.72 ,$2.67 ,$2.03 ,$7.19 ,$4.23 ,$3.92 ,$1.92 ,$4.23 ,$2.40 ,"$1,569 ","$466,303 ",4.01,"$1,673 ",,$97.05 ,$202.85 ,$299.89 ,$29.63 ,$50.81 ,$3.75 ,$196.88 ,$167.59 ,$123.34 ,$10.38 ,$318.07 ,$4.73 ,$10.38 ,$5.67 ,$26.14 ,$43.02 ,$3.45 ,$1.02 ,$12.40 ,$17.98 ,$16.19 ,$20.48 ,$91.25 ,$10.00 ,$7.50 ,$3.88 ,$2.23 ,$75.50 ,$10.49 ,$10.97 
04-22380-300,Arizona,Flagstaff AZ Metro,Flagstaff AZ,$12.14 ,$4.24 ,$4.91 ,$1.62 ,$1.18 ,$1.75 ,$2.15 ,$1.21 ,$5.13 ,$3.33 ,$0.59 ,$1.18 ,$1.79 ,$4.06 ,$4.85 ,$2.49 ,$4.11 ,$1.23 ,$2.19 ,$2.15 ,$5.55 ,$3.26 ,$2.82 ,$1.78 ,$4.05 ,$1.77 ,"$1,184 ","$446,887 ",4.16,"$1,634 ",,$77.46 ,$84.81 ,$162.27 ,$37.81 ,$32.34 ,$2.80 ,$102.08 ,$109.19 ,$113.72 ,$10.13 ,$284.77 ,$4.16 ,$8.22 ,$5.32 ,$14.29 ,$25.73 ,$2.39 ,$1.16 ,$11.15 ,$30.31 ,$22.62 ,$27.98 ,$76.62 ,$18.87 ,$9.42 ,$4.30 ,$3.49 ,$45.06 ,$8.93 ,$12.67 
04-29420-150,Arizona,Lake Havasu City-Kingman AZ Metro,Bullhead City AZ,$11.53 ,$3.94 ,$4.26 ,$1.32 ,$0.93 ,$1.77 ,$2.19 ,$1.06 ,$3.86 ,$2.91 ,$0.58 ,$1.14 ,$1.54 ,$3.48 ,$4.51 ,$2.23 ,$3.65 ,$1.02 ,$2.20 ,$1.91 ,$5.18 ,$2.82 ,$2.39 ,$1.24 ,$3.05 ,$1.68 ,$583 ,"$294,510 ",3.9,"$1,042 ",,$66.93 ,$71.55 ,$138.48 ,$19.99 ,$31.33 ,$2.92 ,$103.00 ,$102.92 ,$96.92 ,$8.72 ,$258.87 ,$3.97 ,$8.12 ,$3.79 ,$10.42 ,$23.80 ,$2.58 ,$0.91 ,$11.75 ,$31.58 ,$30.08 ,$34.50 ,$66.90 ,$10.11 ,$9.63 ,$4.44 ,$2.46 ,$58.25 ,$8.30 ,$7.67 
04-29420-400,Arizona,Lake Havasu City-Kingman AZ Metro,Lake Havasu City AZ,$11.18 ,$4.16 ,$4.17 ,$1.36 ,$1.01 ,$1.76 ,$2.11 ,$0.99 ,$4.11 ,$2.82 ,$0.58 ,$1.20 ,$1.52 ,$3.68 ,$4.60 ,$2.53 ,$3.51 ,$1.03 ,$2.43 ,$1.94 ,$5.59 ,$2.72 ,$2.35 ,$1.06 ,$3.61 ,$1.58 ,$778 ,"$361,111 ",4,"$1,294 ",$160.24 ,,,$160.24 ,$32.70 ,$37.37 ,$2.85 ,$106.93 ,$113.27 ,$95.02 ,$9.32 ,$314.82 ,$3.70 ,$8.36 ,$3.96 ,$13.44 ,$32.81 ,$2.72 ,$0.85 ,$13.49 ,$21.27 ,$19.96 ,$21.97 ,$79.72 ,$10.50 ,$8.01 ,$4.77 ,$2.19 ,$54.83 ,$8.53 ,$7.10 
04-38060-600,Arizona,Phoenix-Mesa-Scottsdale AZ Metro,Phoenix AZ,$10.96 ,$4.65 ,$4.37 ,$1.98 ,$1.11 ,$1.78 ,$2.09 ,$0.99 ,$3.97 ,$3.04 ,$0.59 ,$1.19 ,$1.94 ,$3.72 ,$4.68 ,$2.32 ,$3.68 ,$1.04 ,$1.38 ,$1.57 ,$4.93 ,$2.84 ,$2.38 ,$1.16 ,$2.94 ,$1.55 ,$866 ,"$290,960 ",4.2,"$1,068 ",$192.36 ,,,$192.36 ,$19.99 ,$33.50 ,$2.76 ,$84.50 ,$98.38 ,$99.00 ,$7.95 ,$264.75 ,$3.84 ,$9.50 ,$3.19 ,$13.25 ,$27.50 ,$1.51 ,$0.89 ,$14.00 ,$22.32 ,$12.67 ,$25.99 ,$67.50 ,$24.00 ,$9.69 ,$4.78 ,$2.10 ,$45.50 ,$8.16 ,$5.39 
04-39140-650,Arizona,Prescott AZ Metro,Prescott-Prescott Valley AZ,$10.62 ,$3.80 ,$4.42 ,$1.37 ,$0.92 ,$1.71 ,$2.06 ,$1.11 ,$4.23 ,$3.39 ,$0.56 ,$1.14 ,$1.53 ,$3.14 ,$4.79 ,$2.24 ,$3.58 ,$0.98 ,$2.44 ,$1.81 ,$5.17 ,$2.86 ,$2.16 ,$1.27 ,$3.11 ,$1.43 ,$898 ,"$329,557 ",4.02,"$1,184 ",,$76.45 ,$87.04 ,$163.49 ,$25.13 ,$31.52 ,$2.77 ,$99.55 ,$94.71 ,$85.61 ,$8.89 ,$299.02 ,$3.99 ,$8.33 ,$3.50 ,$12.64 ,$25.61 ,$2.11 ,$0.92 ,$13.84 ,$23.17 ,$22.92 ,$29.54 ,$67.25 ,$13.95 ,$8.44 ,$3.25 ,$2.24 ,$45.88 ,$8.84 ,$6.57 
04-43420-725,Arizona,Sierra Vista-Douglas AZ Metro,Sierra Vista AZ,$10.77 ,$4.21 ,$4.34 ,$1.35 ,$0.84 ,$1.68 ,$2.11 ,$1.08 ,$4.40 ,$3.10 ,$0.57 ,$1.34 ,$1.49 ,$3.06 ,$4.52 ,$2.27 ,$3.83 ,$0.99 ,$2.48 ,$1.65 ,$4.46 ,$2.92 ,$2.12 ,$1.06 ,$3.12 ,$1.56 ,$878 ,"$285,809 ",4.14,"$1,041 ",,$105.55 ,$73.93 ,$179.48 ,$28.74 ,$33.19 ,$2.75 ,$88.71 ,$96.10 ,$86.93 ,$9.23 ,$277.21 ,$3.46 ,$9.24 ,$3.51 ,$11.49 ,$30.00 ,$1.91 ,$0.92 ,$11.36 ,$30.47 ,$26.49 ,$31.12 ,$67.25 ,$13.25 ,$8.00 ,$3.45 ,$2.47 ,$50.91 ,$9.00 ,$6.51 
04-46060-850,Arizona,Tucson AZ Metro,Tucson AZ,$11.29 ,$4.34 ,$4.48 ,$1.36 ,$0.93 ,$1.72 ,$2.08 ,$1.14 ,$4.53 ,$2.76 ,$0.58 ,$1.18 ,$1.42 ,$3.31 ,$4.83 ,$2.27 ,$3.75 ,$1.07 ,$2.61 ,$1.84 ,$4.87 ,$2.86 ,$2.33 ,$1.16 ,$3.39 ,$1.51 ,$844 ,"$252,324 ",4.03,$907 ,,$103.26 ,$63.91 ,$167.17 ,$23.51 ,$38.51 ,$2.52 ,$90.85 ,$129.20 ,$88.60 ,$9.33 ,$297.35 ,$3.38 ,$9.74 ,$3.12 ,$15.03 ,$43.62 ,$2.40 ,$0.97 ,$12.74 ,$34.04 ,$24.90 ,$32.88 ,$68.09 ,$22.13 ,$9.64 ,$3.86 ,$2.60 ,$49.60 ,$8.40 ,$7.51 
04-49740-900,Arizona,Yuma AZ Metro,Yuma AZ,$10.68 ,$4.38 ,$4.82 ,$1.52 ,$1.44 ,$1.84 ,$2.44 ,$1.42 ,$4.50 ,$2.51 ,$0.60 ,$1.17 ,$1.49 ,$3.70 ,$4.77 ,$2.48 ,$4.32 ,$1.32 ,$2.49 ,$2.07 ,$5.27 ,$3.07 ,$3.08 ,$1.69 ,$3.44 ,$1.79 ,$778 ,"$274,275 ",4.17,"$1,002 ",$209.80 ,,,$209.80 ,$32.51 ,$31.08 ,$2.71 ,$91.35 ,$116.19 ,$80.80 ,$9.18 ,$252.17 ,$4.29 ,$10.48 ,$4.46 ,$11.40 ,$27.95 ,$3.40 ,$1.01 ,$11.87 ,$34.31 ,$21.45 ,$39.56 ,$72.45 ,$19.67 ,$8.25 ,$3.31 ,$2.32 ,$42.90 ,$9.33 ,$9.29 
05-22220-300,Arkansas,Fayetteville-Springdale-Rogers AR-MO Metro,Fayetteville AR,$10.66 ,$4.18 ,$3.79 ,$1.09 ,$1.15 ,$2.31 ,$2.12 ,$0.87 ,$3.79 ,$3.53 ,$0.56 ,$1.45 ,$1.45 ,$3.55 ,$4.04 ,$2.00 ,$2.98 ,$0.90 ,$2.34 ,$1.58 ,$5.13 ,$2.51 ,$2.55 ,$0.97 ,$3.00 ,$1.45 ,$644 ,"$250,717 ",3.99,$896 ,,$78.77 ,$79.41 ,$158.18 ,$33.40 ,$37.47 ,$2.42 ,$95.13 ,$91.73 ,$77.81 ,$8.12 ,$305.30 ,$3.71 ,$9.72 ,$3.41 ,$12.52 ,$32.95 ,$2.28 ,$0.83 ,$11.94 ,$15.31 ,$13.63 ,$18.86 ,$73.69 ,$28.00 ,$9.45 ,$2.86 ,$2.10 ,$45.70 ,$8.89 ,$7.86 
05-26300-500,Arkansas,Hot Springs AR Metro,Hot Springs AR,$11.95 ,$4.27 ,$4.37 ,$1.32 ,$0.97 ,$2.45 ,$2.11 ,$0.92 ,$3.79 ,$2.74 ,$0.59 ,$1.48 ,$1.28 ,$3.37 ,$4.24 ,$2.44 ,$3.23 ,$1.05 ,$2.62 ,$1.92 ,$5.20 ,$2.59 ,$2.61 ,$1.30 ,$3.08 ,$1.66 ,$623 ,"$252,296 ",3.94,$897 ,,$90.19 ,$60.09 ,$150.29 ,$34.27 ,$28.71 ,$2.52 ,$122.63 ,$98.13 ,$75.83 ,$8.81 ,$257.57 ,$4.03 ,$9.16 ,$2.71 ,$15.81 ,$29.42 ,$1.99 ,$1.00 ,$8.19 ,$49.50 ,$21.73 ,$34.06 ,$83.13 ,$21.67 ,$9.75 ,$3.80 ,$2.25 ,$39.23 ,$8.55 ,$12.15 
05-27860-600,Arkansas,Jonesboro AR Metro,Jonesboro AR,$11.17 ,$3.87 ,$4.17 ,$1.17 ,$0.91 ,$2.17 ,$1.97 ,$0.99 ,$3.75 ,$2.81 ,$0.55 ,$1.34 ,$1.29 ,$3.49 ,$4.32 ,$2.02 ,$3.54 ,$0.98 ,$2.65 ,$1.85 ,$4.79 ,$2.48 ,$2.27 ,$1.24 ,$3.03 ,$1.59 ,$699 ,"$244,035 ",3.94,$868 ,,$67.31 ,$70.11 ,$137.42 ,$30.90 ,$29.74 ,$2.41 ,$71.67 ,$98.42 ,$67.34 ,$8.17 ,$285.79 ,$3.94 ,$9.37 ,$2.90 ,$12.92 ,$23.33 ,$1.86 ,$0.82 ,$11.93 ,$21.24 ,$13.39 ,$22.53 ,$61.25 ,$17.13 ,$9.38 ,$3.91 ,$2.41 ,$54.50 ,$8.66 ,$10.81 
05-30780-125,Arkansas,Little Rock-North Little Rock-Conway AR Metro,Conway AR,$10.97 ,$4.00 ,$3.95 ,$1.35 ,$0.90 ,$2.57 ,$2.11 ,$1.05 ,$3.93 ,$3.81 ,$0.49 ,$1.23 ,$1.29 ,$3.99 ,$4.16 ,$2.61 ,$3.18 ,$1.00 ,$2.66 ,$1.71 ,$6.33 ,$2.57 ,$2.64 ,$1.07 ,$3.46 ,$1.68 ,$678 ,"$262,365 ",4.01,$941 ,,$69.06 ,$67.17 ,$136.23 ,$27.95 ,$39.97 ,$2.43 ,$98.76 ,$91.45 ,$69.34 ,$10.85 ,$310.52 ,$3.77 ,$8.91 ,$2.86 ,$14.78 ,$33.10 ,$2.38 ,$2.51 ,$7.64 ,$23.26 ,$25.90 ,$34.89 ,$99.40 ,$12.26 ,$8.85 ,$3.85 ,$3.94 ,$98.00 ,$8.46 ,$9.53 
05-30780-700,Arkansas,Little Rock-North Little Rock-Conway AR Metro,Little Rock-North Little Rock AR,$11.13 ,$4.15 ,$3.93 ,$1.16 ,$0.96 ,$2.06 ,$1.95 ,$0.95 ,$3.86 ,$2.83 ,$0.57 ,$1.28 ,$1.39 ,$3.40 ,$4.32 ,$1.86 ,$3.47 ,$1.02 ,$2.69 ,$1.90 ,$4.77 ,$2.50 ,$2.24 ,$1.35 ,$3.25 ,$1.63 ,$789 ,"$291,288 ",4.09,"$1,055 ",,$93.76 ,$63.48 ,$157.23 ,$40.38 ,$32.13 ,$2.58 ,$83.81 ,$91.65 ,$64.83 ,$8.23 ,$297.54 ,$3.91 ,$8.62 ,$2.25 ,$15.25 ,$39.85 ,$1.96 ,$0.87 ,$10.04 ,$28.79 ,$24.68 ,$32.47 ,$67.81 ,$28.00 ,$9.55 ,$3.98 ,$3.57 ,$42.88 ,$8.84 ,$11.27 
06-11244-620,California,Anaheim-Santa Ana-Irvine CA Metro Div.,Orange County CA,$11.20 ,$4.45 ,$4.83 ,$1.48 ,$1.11 ,$2.50 ,$3.43 ,$1.01 ,$4.50 ,$3.16 ,$0.69 ,$1.42 ,$1.43 ,$3.48 ,$5.28 ,$2.65 ,$4.29 ,$1.40 ,$3.19 ,$2.21 ,$5.47 ,$3.60 ,$2.38 ,$1.35 ,$3.17 ,$1.88 ,"$1,971 ","$803,732 ",3.98,"$2,873 ",,$139.26 ,$59.88 ,$199.14 ,$33.50 ,$43.51 ,$3.62 ,$102.31 ,$96.14 ,$103.60 ,$11.95 ,$309.48 ,$4.18 ,$9.50 ,$3.87 ,$19.37 ,$59.69 ,$2.71 ,$1.11 ,$12.14 ,$25.99 ,$24.79 ,$28.17 ,$45.40 ,$27.19 ,$12.61 ,$5.84 ,$2.41 ,$54.00 ,$9.56 ,$5.57 
06-12540-100,California,Bakersfield CA Metro,Bakersfield CA,$10.06 ,$4.35 ,$4.71 ,$1.36 ,$1.09 ,$2.29 ,$3.09 ,$1.16 ,$4.46 ,$3.57 ,$0.63 ,$1.49 ,$1.81 ,$3.86 ,$5.20 ,$2.82 ,$3.99 ,$1.32 ,$2.61 ,$2.00 ,$5.10 ,$3.29 ,$2.59 ,$1.58 ,$2.84 ,$1.63 ,$802 ,"$338,120 ",4.01,"$1,213 ",,$169.99 ,$76.03 ,$246.02 ,$25.73 ,$37.83 ,$3.36 ,$94.50 ,$101.98 ,$98.67 ,$11.43 ,$292.87 ,$4.07 ,$9.11 ,$3.78 ,$12.42 ,$45.83 ,$3.00 ,$1.11 ,$14.52 ,$22.55 ,$23.68 ,$22.92 ,$78.33 ,$12.99 ,$8.83 ,$5.09 ,$3.82 ,$41.66 ,$8.52 ,$5.25 
